№,Символ,Кільк.,Імовірність,%
165,ЕБ,14,0.00121,0.12128
166,ЕВ,39,0.00338,0.33784
167,ЕГ,3,0.00026,0.02599
168,ЕД,59,0.00511,0.51109
169,ЕЖ,17,0.00147,0.14726
170,ЕЗ,31,0.00269,0.26854
171,ЕЙ,19,0.00165,0.16459
172,ЕК,24,0.00208,0.2079
173,ЕЛ,6,0.00052,0.05198
174,ЕМ,18,0.00156,0.15593
175,ЕН,193,0.01672,1.67186
176,ЕО,3,0.00026,0.02599
177,ЕП,31,0.00269,0.26854
178,ЕР,181,0.01568,1.56791
179,ЕС,12,0.00104,0.10395
180,ЕТ,38,0.00329,0.32918
181,ЕУ,1,9.0e-05,0.00866
182,ЕФ,2,0.00017,0.01733
183,ЕХ,1,9.0e-05,0.00866
184,ЕЦ,3,0.00026,0.02599
185,ЕЧ,4,0.00035,0.03465
186,ЕШ,1,9.0e-05,0.00866
187,ЕЩ,4,0.00035,0.03465
188,ЕЯ,2,0.00017,0.01733
189,ЖІ,6,0.00052,0.05198
190,ЖА,7,0.00061,0.06064
191,ЖБ,2,0.00017,0.01733
192,ЖВ,2,0.00017,0.01733
193,ЖД,2,0.00017,0.01733
194,ЖЕ,26,0.00225,0.22523
195,ЖИ,4,0.00035,0.03465
196,ЖЛ,3,0.00026,0.02599
197,ЖН,7,0.00061,0.06064
198,ЖО,1,9.0e-05,0.00866
199,ЖП,1,9.0e-05,0.00866
200,ЖР,1,9.0e-05,0.00866
201,ЖТ,3,0.00026,0.02599
202,ЖУ,5,0.00043,0.04331
203,ЖЧ,1,9.0e-05,0.00866
204,ЗЄ,5,0.00043,0.04331
205,ЗІ,3,0.00026,0.02599
206,ЗА,78,0.00676,0.67568
207,ЗБ,2,0.00017,0.01733
208,ЗВ,19,0.00165,0.16459
209,ЗД,13,0.00113,0.11261
210,ЗЕ,8,0.00069,0.0693
211,ЗЗ,2,0.00017,0.01733
212,ЗИ,3,0.00026,0.02599
213,ЗК,8,0.00069,0.0693
214,ЗЛ,2,0.00017,0.01733
215,ЗМ,9,0.00078,0.07796
216,ЗН,27,0.00234,0.23389
217,ЗО,4,0.00035,0.03465
218,ЗП,14,0.00121,0.12128
219,ЗР,4,0.00035,0.03465
220,ЗС,2,0.00017,0.01733
221,ЗТ,1,9.0e-05,0.00866
222,ЗУ,9,0.00078,0.07796
223,ЗЦ,3,0.00026,0.02599
224,ЗЧ,6,0.00052,0.05198
225,ЗШ,3,0.00026,0.02599
226,ЗЬ,1,9.0e-05,0.00866
227,ЗЯ,1,9.0e-05,0.00866
228,ИЄ,2,0.00017,0.01733
229,ИІ,5,0.00043,0.04331
230,ИА,3,0.00026,0.02599
231,ИБ,8,0.00069,0.0693
232,ИВ,65,0.00563,0.56306
233,ИГ,3,0.00026,0.02599
234,ИД,23,0.00199,0.19924
235,ИЖ,1,9.0e-05,0.00866
